source_file/page,source_line,link_text_or_identifier,target_url/path,link_type,status,issue_description,recommended_fix
games/orto-magico.html,29,button #apri,orto-magico/index.html,internal,suspicious,Non-crawlable fake link on non-anchor element,"Use <a href=""...""> for navigation; keep JS event only as enhancement."
games/pinball.html,1,ORPHAN_PAGE,games/pinball.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
games/pinball.html,9,link,https://fonts.googleapis.com/css2?family=Orbitron:wght@600;800;900&family=Rajdhani:wght@500;600;700&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/pixel_runner.html,7,link,https://fonts.googleapis.com/css2?family=Press+Start+2P&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/pokedex.html,1,ORPHAN_PAGE,games/pokedex.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
games/pokedex.html,7,link,https://fonts.googleapis.com/css2?family=Press+Start+2P&family=Segoe+UI:wght@400;600;700&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/pokemon.html,1,ORPHAN_PAGE,games/pokemon.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
games/poker.html,8,link,https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/pokopia-clone.html,1,ORPHAN_PAGE,games/pokopia-clone.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
games/pokopia-clone.html,29,button #apri,pokopia-clone/index.html,internal,suspicious,Non-crawlable fake link on non-anchor element,"Use <a href=""...""> for navigation; keep JS event only as enhancement."
games/quantum_tictactoe.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/referendum-game/index.html,25,link,https://fonts.googleapis.com/css2?family=Rajdhani:wght@500;700&family=Inter:wght@400;500&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/referendum-game/index.html,302,script,https://unpkg.com/peerjs@1.5.4/dist/peerjs.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/referendum-game/index.html,303,script,https://cdnjs.cloudflare.com/ajax/libs/qrcodejs/1.0.0/qrcode.min.js,external,suspicious,External URL not checked,Validate external target availability.
